Hospital Name,Hospital Lat,Hospital Lon,Hospital Address,Beds Available,Doctors Available,Traffic Speed (km/h),Traffic Incident,Traffic Density,Traffic Severity Index,Weather Condition,Route Distance (km),Route Time Without Traffic (min),Route Time With Traffic (min),Route Start Time,Route End Time,Priority Level
"G. R. Hospital & Fertility Centre, City Link Road, CMWSSB Division 160, Zone 13 Adyar, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600088, India",12.9952982,80.2068955,"G. R. Hospital & Fertility Centre, City Link Road, CMWSSB Division 160, Zone 13 Adyar, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600088, India",19,5,20,Yes,Moderate,12,Snow,16.393642687607823,24.590464031411734,32.876043789581125,2025-02-13 09:00:17.688563,2025-02-13 09:33:10.251190,Low
"Balaji Hospital (P) Ltd, Anna Salai (Mount Road), Ward 170, Zone 13 Adyar, Alandur, Chennai, Tamil Nadu, 600032, India",13.00738175,80.20608622840193,"Balaji Hospital (P) Ltd, Anna Salai (Mount Road), Ward 170, Zone 13 Adyar, Alandur, Chennai, Tamil Nadu, 600032, India",19,5,30,Yes,Low,11,Rain,9.95313434460709,14.929701516910635,22.1009857272563,2025-02-13 09:24:17.688563,2025-02-13 09:46:23.747707,Low
"SP Hospital, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",12.9933638,80.2009134,"SP Hospital, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",13,9,30,No,High,34,Fog,5.165464791867944,7.7481971878019165,12.955543055352265,2025-02-13 09:13:17.688563,2025-02-13 09:26:15.021146,Medium
"Ponmalligai Hospital Pvt Ltd, Kakkan Nagar Main Road, Ward 177, Zone 13 Adyar, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",12.9925116,80.2061465,"Ponmalligai Hospital Pvt Ltd, Kakkan Nagar Main Road, Ward 177, Zone 13 Adyar, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",18,7,25,No,Moderate,11,Fog,18.711735894491866,28.0676038417378,40.501066104924014,2025-02-13 09:01:17.688563,2025-02-13 09:41:47.752529,Low
"K P Childrens Hospital And Neuro Centre, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",12.9911179,80.1986745,"K P Childrens Hospital And Neuro Centre, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",12,9,25,No,Low,25,Rain,7.816266403990966,11.724399605986449,22.37278250293502,2025-02-13 09:35:17.688563,2025-02-13 09:57:40.055513,Low
"Cantonment General Hospital, Magazine Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",13.0096653,80.19501478878405,"Cantonment General Hospital, Magazine Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",28,6,30,Yes,Moderate,17,Fog,9.275906375850742,13.913859563776112,27.653168551006978,2025-02-13 09:02:17.688563,2025-02-13 09:29:56.878676,Medium
"Magazine Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",13.009781,80.1949734,"Magazine Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",20,5,30,Yes,Moderate,19,Clear,18.770210512689097,28.155315769033646,34.596494018721145,2025-02-13 09:40:17.688563,2025-02-13 10:14:53.478204,Low
"Rathna Hospital, St Patricks Church Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St. Thomas Mount Cantonment, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.0087475,80.1937172,"Rathna Hospital, St Patricks Church Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St. Thomas Mount Cantonment, Chengalpattu, Chennai, Tamil Nadu, 600016, India",20,6,40,No,Low,29,Clear,17.543382043872228,26.315073065808342,39.59528188221362,2025-02-13 08:55:17.688563,2025-02-13 09:34:53.405476,Medium
"St. Thomas Hospital, Defence Colony Road, CMWSSB Division 201, St. Thomas Mount Cantonment, St.Thomas Mount-Pallavaram Cantonment Board, Kanchipuram, Chennai, Tamil Nadu, 600016, India",13.0122733,80.196428,"St. Thomas Hospital, Defence Colony Road, CMWSSB Division 201, St. Thomas Mount Cantonment, St.Thomas Mount-Pallavaram Cantonment Board, Kanchipuram, Chennai, Tamil Nadu, 600016, India",39,50,20,No,Moderate,29,Fog,13.630550407946043,20.445825611919062,30.63352973521686,2025-02-13 09:19:17.688563,2025-02-13 09:49:55.700347,Low
"Military Hospital, 2nd Seven Wells Street, CMWSSB Division 158, Ward 158, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600016, India",13.0117736,80.1941708,"Military Hospital, 2nd Seven Wells Street, CMWSSB Division 158, Ward 158, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600016, India",17,6,30,No,Low,27,Clear,9.873979387962116,14.810969081943174,22.54707025017625,2025-02-13 08:49:17.688563,2025-02-13 09:11:50.512778,Medium
"BM Hospital, 5th Main Road, CMWSSB Division 162, Ward 162, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600114, India",12.9887616,80.1904116,"BM Hospital, 5th Main Road, CMWSSB Division 162, Ward 162, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600114, India",27,6,30,No,High,51,Fog,9.685218150436015,14.527827225654022,29.19600758630809,2025-02-13 09:27:17.688563,2025-02-13 09:56:29.449018,Low
"Dr Bala's Skin clinic, 14, Vanalar Street, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600088, India",12.9831959,80.2013573,"Dr Bala's Skin clinic, 14, Vanalar Street, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600088, India",22,6,25,Yes,High,41,Clear,17.93423096718532,26.901346450777982,33.912964576216346,2025-02-13 09:20:17.688563,2025-02-13 09:54:12.466438,High
"HOSPICE, Nagi Reddy thottam Garden Rd, Labour Colony, CMWSSB Division 170, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India",13.015872900000002,80.21345943331696,"HOSPICE, Nagi Reddy thottam Garden Rd, Labour Colony, CMWSSB Division 170, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India",13,8,40,Yes,Moderate,27,Rain,14.957820498875556,22.436730748313334,36.98152560492264,2025-02-13 09:21:17.688563,2025-02-13 09:58:16.580099,Low
"Military Hospital, Defence Colony 1st Avenue, CMWSSB Division 201, St. Thomas Mount Cantonment, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",13.0194622,80.1972947,"Military Hospital, Defence Colony 1st Avenue, CMWSSB Division 201, St. Thomas Mount Cantonment, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",12,9,40,Yes,High,46,Snow,8.255307547958816,12.382961321938225,22.201212048961736,2025-02-13 09:29:17.688563,2025-02-13 09:51:29.761286,Medium
"Rotary Central Margaret Sidney Hospital, 2nd Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600001, India",12.9837958,80.1932105,"Rotary Central Margaret Sidney Hospital, 2nd Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600001, India",14,8,30,No,Moderate,20,Fog,16.079031944483532,24.118547916725298,36.94550867598808,2025-02-13 09:19:17.688563,2025-02-13 09:56:14.419084,Medium
"Hariharan Hospital, 29th Street, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.9847145,80.1905906,"Hariharan Hospital, 29th Street, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",16,6,20,No,High,73,Snow,10.811781614146579,16.217672421219866,30.96845091467364,2025-02-13 09:23:17.688563,2025-02-13 09:54:15.795618,High
"Bharath Hospital, 72, Nanganallur 1st Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.9823277,80.1937835,"Bharath Hospital, 72, Nanganallur 1st Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",21,6,20,No,High,32,Fog,18.86380507062469,28.295707605937032,36.81740046745659,2025-02-13 08:48:17.688563,2025-02-13 09:25:06.732591,Medium
"Prime Care Nursing Home, Brindavan Nagar Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600042, India",12.9799192,80.2044922,"Prime Care Nursing Home, Brindavan Nagar Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600042, India",22,5,25,Yes,Low,27,Rain,9.230034571098457,13.845051856647686,19.677703535495677,2025-02-13 09:31:17.688563,2025-02-13 09:50:58.350775,High
"Dr. Janardhanan Multispeciality Dental Clinic, Nanganallur 4th Main Road, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600114, India",12.9842586,80.1886083,"Dr. Janardhanan Multispeciality Dental Clinic, Nanganallur 4th Main Road, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600114, India",25,5,35,Yes,High,40,Rain,8.675241498384176,13.012862247576265,22.17624977004805,2025-02-13 09:35:17.688563,2025-02-13 09:57:28.263549,Medium
"Qure Ortho Clinic, Physiotherapy, X Ray & Pharmacy, Brindavan Nagar Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600042, India",12.9794,80.2043658,"Qure Ortho Clinic, Physiotherapy, X Ray & Pharmacy, Brindavan Nagar Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600042, India",12,6,35,No,Moderate,12,Rain,15.681477017545843,23.522215526318767,32.18862335429476,2025-02-13 09:27:17.688563,2025-02-13 09:59:29.005964,Medium
"Xcellent Care Hospital, RajaLaxmi Nagar 7th Cross Street, RajaLaxmi Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12.9855867,80.21842695262237,"Xcellent Care Hospital, RajaLaxmi Nagar 7th Cross Street, RajaLaxmi Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",23,6,25,No,Low,18,Clear,19.102655366321997,28.653983049482996,37.214899670185126,2025-02-13 09:01:17.688563,2025-02-13 09:38:30.582543,High
"Sri Venkateshwara`s C.M. Hospital, Nanganallur 5th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.9857914,80.185987,"Sri Venkateshwara`s C.M. Hospital, Nanganallur 5th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",23,6,25,Yes,Moderate,18,Rain,10.557802901233565,15.836704351850345,21.142904653411634,2025-02-13 09:39:17.688563,2025-02-13 10:00:26.262842,High
"Dr.Agarwal's Eye Hospital Ltd, Nanganallur, Nanganallur 1st Main Road, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",12.9827844,80.1891661,"Dr.Agarwal's Eye Hospital Ltd, Nanganallur, Nanganallur 1st Main Road, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",15,10,30,No,Low,10,Fog,8.52379365209664,12.785690478144959,21.7689360489553,2025-02-13 09:35:17.688563,2025-02-13 09:57:03.824726,High
"Helios Hospital Pvt Ltd, RajaLaxmi Nagar 7th Cross Street, RajaLaxmi Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12.9855882,80.2189144,"Helios Hospital Pvt Ltd, RajaLaxmi Nagar 7th Cross Street, RajaLaxmi Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",21,5,20,Yes,High,77,Snow,14.323271303718938,21.484906955578406,35.55670557051234,2025-02-13 08:54:17.688563,2025-02-13 09:29:51.090897,High
"Dr.Agarwals Eye Hospital - Velacherry, Velachery Bypass Road, Gangai Nagar, Ward 177, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12.9832366,80.217509,"Dr.Agarwals Eye Hospital - Velacherry, Velachery Bypass Road, Gangai Nagar, Ward 177, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12,7,35,Yes,Low,20,Fog,11.411337046963942,17.11700557044591,27.160220098074095,2025-02-13 09:35:17.689645,2025-02-13 10:02:27.302851,High
"Xcellent Care Superspeciality Hospital, Velachery Bypass Road, Gangai Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12.9833895,80.2181782,"Xcellent Care Superspeciality Hospital, Velachery Bypass Road, Gangai Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",22,6,25,No,Low,11,Fog,14.723997681008099,22.085996521512147,33.40439238268331,2025-02-13 09:07:17.689645,2025-02-13 09:40:41.953188,High
"Palani Balaji Fertility Centre, Velachery Road, Jothiammal Nagar, Ward 171, Zone 13 Adyar, Chennai, Tamil Nadu, 624601, India",13.0122123,80.2235084,"Palani Balaji Fertility Centre, Velachery Road, Jothiammal Nagar, Ward 171, Zone 13 Adyar, Chennai, Tamil Nadu, 624601, India",22,8,25,No,Moderate,27,Snow,15.862280255630905,23.793420383446357,35.233483656050026,2025-02-13 09:09:17.689645,2025-02-13 09:44:31.698664,Low
"Diha Clinic, No 6, Nanganallur 6th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.98096495,80.18711415874711,"Diha Clinic, No 6, Nanganallur 6th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",16,9,40,No,Moderate,20,Rain,14.104309499009682,21.156464248514524,29.937713507296394,2025-02-13 09:07:17.689645,2025-02-13 09:37:13.952455,Medium
"No 6, Nanganallur 6th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.9809491,80.1871116,"No 6, Nanganallur 6th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",13,5,40,Yes,Low,13,Fog,6.761401650101078,10.142102475151617,20.095728917355743,2025-02-13 09:06:17.689645,2025-02-13 09:26:23.433380,High
"Velachery K S Hospital, kalki nagar main road, Ward 178, Zone 13 Adyar, Sholinganallur, Chennai, Tamil Nadu, 600042, India",12.9763914,80.2114016,"Velachery K S Hospital, kalki nagar main road, Ward 178, Zone 13 Adyar, Sholinganallur, Chennai, Tamil Nadu, 600042, India",13,9,30,No,Moderate,26,Fog,11.338049692521382,17.00707453878207,28.158325200431612,2025-02-13 09:35:17.689645,2025-02-13 10:03:27.189157,High
"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600089, India",13.0211808,80.1858412,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600089, India",28,6,35,Yes,Low,24,Clear,7.372172366020797,11.058258549031196,24.962127542488453,2025-02-13 09:17:17.689645,2025-02-13 09:42:15.417298,High
"Gowri Nursing Home, Kanchipuram, 6th Street, Lakshmi Nagar, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",12.9779713,80.1883923,"Gowri Nursing Home, Kanchipuram, 6th Street, Lakshmi Nagar, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",25,7,20,No,High,74,Fog,13.78060383415419,20.670905751231285,30.45418636769409,2025-02-13 09:10:17.689645,2025-02-13 09:40:44.940827,High
"KS Bone and Joint Clinic - Ortho, Gangai Amman Koil Street, Ward 139, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India",13.026029,80.212368,"KS Bone and Joint Clinic - Ortho, Gangai Amman Koil Street, Ward 139, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India",26,7,20,Yes,Low,17,Fog,8.000815006909075,12.001222510363613,25.614264324795034,2025-02-13 09:13:17.689645,2025-02-13 09:38:54.545504,High
"Gowri Nursing Home, 100ft Road, Ward 168, Zone 14 Perungudi, Alandur, Chennai, Tamil Nadu, 600061, India",12.9774071,80.18833045104813,"Gowri Nursing Home, 100ft Road, Ward 168, Zone 14 Perungudi, Alandur, Chennai, Tamil Nadu, 600061, India",22,6,30,No,Moderate,28,Fog,19.465357989855086,29.19803698478263,37.04855482985548,2025-02-13 08:46:17.689645,2025-02-13 09:23:20.602935,Low
"Pankajam Memorial Hospital, Nanganallur 100 Feet Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",12.9801472,80.1835965,"Pankajam Memorial Hospital, Nanganallur 100 Feet Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",21,6,25,No,Low,17,Snow,16.423924072710314,24.63588610906547,38.45570514244807,2025-02-13 09:26:17.689645,2025-02-13 10:04:45.031954,Medium
"Sri Chakra Hospital, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.9786524,80.1850278,"Sri Chakra Hospital, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",29,9,25,No,High,51,Snow,5.745889874997041,8.618834812495562,21.792348854569976,2025-02-13 09:28:17.689645,2025-02-13 09:50:05.230576,Medium
"Srichakara Multispeciality Hospital, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.97853,80.1851381,"Srichakara Multispeciality Hospital, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",10,10,20,No,Low,11,Clear,11.047320968373786,16.57098145256068,31.36528078354488,2025-02-13 09:04:17.689645,2025-02-13 09:35:39.606492,Medium
"Hindu Mission Health Services, Kanchipuram, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 603209, India",12.9787682,80.1846471,"Hindu Mission Health Services, Kanchipuram, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 603209, India",17,7,35,No,Moderate,12,Clear,7.227407701491453,10.84111155223718,21.34570049678836,2025-02-13 09:05:17.689645,2025-02-13 09:26:38.431675,Low
"Nivas Skin Clinic, Inner Ring Road, CMWSSB Division 138, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India",13.0289663,80.2085951,"Nivas Skin Clinic, Inner Ring Road, CMWSSB Division 138, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India",88,49,25,No,Moderate,14,Clear,7.732594022610881,11.598891033916322,20.035124771588137,2025-02-13 09:32:17.689645,2025-02-13 09:52:19.797131,High
"சைதாப்பேட்டை அரசு மருத்துவமனை, Jeenis Road, Ward 142, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",13.02044625,80.22405105438145,"சைதாப்பேட்டை அரசு மருத்துவமனை, Jeenis Road, Ward 142, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",171,83,30,No,Low,19,Rain,7.64461296199317,11.466919442989756,23.64868797379049,2025-02-13 08:46:17.689645,2025-02-13 09:09:56.610923,Medium
"Bora Hospital, Vadhyar Subbraya mudali street, Saidapet, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",13.02231095,80.2222779,"Bora Hospital, Vadhyar Subbraya mudali street, Saidapet, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",34,26,40,Yes,Low,14,Fog,12.89922291536718,19.348834373050767,33.494297724985444,2025-02-13 08:51:17.689645,2025-02-13 09:24:47.347508,Medium
"Prashanth Hospitals, 36, Velachery Main Road, JagannathaPuram, CMWSSB Division 179, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12.9784544,80.2214698,"Prashanth Hospitals, 36, Velachery Main Road, JagannathaPuram, CMWSSB Division 179, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",11,7,25,No,Moderate,26,Clear,7.635569317517465,11.453353976276198,23.754633588117375,2025-02-13 09:01:17.689645,2025-02-13 09:25:02.967660,High
"Nalam Hospital, Manapakkam Main Road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Mugalivakkam, Chengalpattu, Chennai, Tamil Nadu, 600116, India",13.0164671,80.1772853,"Nalam Hospital, Manapakkam Main Road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Mugalivakkam, Chengalpattu, Chennai, Tamil Nadu, 600116, India",12,5,30,Yes,Low,22,Snow,18.535427805143165,27.803141707714747,40.547170648193855,2025-02-13 09:23:17.689645,2025-02-13 10:03:50.519884,Medium
"Chennai Corporation 24 Hours Maternity Hospital, Jeenis Road, Ward 142, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",13.0208822,80.22412781839571,"Chennai Corporation 24 Hours Maternity Hospital, Jeenis Road, Ward 142, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",192,59,25,No,High,47,Fog,17.96524545351464,26.94786818027196,38.03723872135305,2025-02-13 08:52:17.689645,2025-02-13 09:30:19.923968,Medium
"Dhanraj Hospital, Karpaga Vinayakar Koil Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.0017797,80.2033269,"Dhanraj Hospital, Karpaga Vinayakar Koil Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",17,5,20,No,Low,21,Snow,9.415559375952569,14.123339063928853,26.350891997416078,2025-02-13 09:34:17.689645,2025-02-13 10:00:38.743165,High
"Cu Shah Sankara Netralaya, Station Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Kanchipuram, Chennai, Tamil Nadu, 600016, India",13.0012687,80.2001283,"Cu Shah Sankara Netralaya, Station Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Kanchipuram, Chennai, Tamil Nadu, 600016, India",14,10,40,No,Moderate,25,Rain,12.839661228725213,19.25949184308782,25.077815754492185,2025-02-13 08:54:17.689645,2025-02-13 09:19:22.358590,Medium
"S.S. Hospital, Sowri street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.0036449,80.2030844,"S.S. Hospital, Sowri street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",22,5,35,No,High,53,Fog,18.78721499831402,28.18082249747103,41.38694957088518,2025-02-13 09:40:17.689645,2025-02-13 10:21:40.906619,Low
"Government Hospital Alandur, Vishnu Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, St. Thomas Mount Cantonment, Alandur, Chennai, Tamil Nadu, 600016, India",13.0048164,80.2025432,"Government Hospital Alandur, Vishnu Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, St. Thomas Mount Cantonment, Alandur, Chennai, Tamil Nadu, 600016, India",21,9,20,No,High,65,Clear,9.990447174332058,14.985670761498087,20.59663196139647,2025-02-13 09:15:17.689645,2025-02-13 09:35:53.487563,Medium
"Kaanthi Makapperu Hospital, Sowri street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.003406,80.2063632,"Kaanthi Makapperu Hospital, Sowri street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",12,7,30,Yes,Low,30,Clear,10.505375723972827,15.758063585959242,24.82332801759268,2025-02-13 09:12:17.689645,2025-02-13 09:37:07.089326,High
"Jaya Sri Hospital, MKN Road, CMWSSB Division 160, Ward 160, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.0027883,80.207025,"Jaya Sri Hospital, MKN Road, CMWSSB Division 160, Ward 160, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Chengalpattu, Chennai, Tamil Nadu, 600016, India",18,6,40,No,High,54,Rain,17.642583299757863,26.463874949636796,35.99593669600439,2025-02-13 08:52:17.689645,2025-02-13 09:28:17.445847,Low
"G. R. Hospital & Fertility Centre, City Link Road, CMWSSB Division 160, Zone 13 Adyar, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600088, India",12.9952982,80.2068955,"G. R. Hospital & Fertility Centre, City Link Road, CMWSSB Division 160, Zone 13 Adyar, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600088, India",24,7,25,No,High,33,Fog,5.417943495772152,8.12691524365823,18.883339073735108,2025-02-13 08:59:17.689645,2025-02-13 09:18:10.689989,Low
"Balaji Hospital (P) Ltd, Anna Salai (Mount Road), Ward 170, Zone 13 Adyar, Alandur, Chennai, Tamil Nadu, 600032, India",13.00738175,80.20608622840193,"Balaji Hospital (P) Ltd, Anna Salai (Mount Road), Ward 170, Zone 13 Adyar, Alandur, Chennai, Tamil Nadu, 600032, India",11,6,40,No,High,76,Snow,8.282540359705802,12.423810539558703,27.126727236730744,2025-02-13 08:57:17.689645,2025-02-13 09:24:25.293279,Low
"SP Hospital, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",12.9933638,80.2009134,"SP Hospital, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",16,8,35,Yes,Low,15,Rain,10.760025208611086,16.140037812916628,24.880979858754454,2025-02-13 09:32:17.689645,2025-02-13 09:57:10.548437,Medium
"Ponmalligai Hospital Pvt Ltd, Kakkan Nagar Main Road, Ward 177, Zone 13 Adyar, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",12.9925116,80.2061465,"Ponmalligai Hospital Pvt Ltd, Kakkan Nagar Main Road, Ward 177, Zone 13 Adyar, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",10,10,35,Yes,Moderate,23,Rain,6.549247363056372,9.823871044584557,18.730257770260245,2025-02-13 09:11:17.689645,2025-02-13 09:30:01.505111,Low
